, Make
A, crucial
After, spending
All, of
Alma, the
And, His
Any, identifier
As, we
Asking, these
At, this
Atonement, It
BYU, and
Bezukhov, grew
Book, of
Brigham, Young
Bronts, 
Building, a
But, if
Carol, In
Charles, Dickenss
Charlotte, Bronts
Christ, amen
Christcentered, prophetically
Christmas, Carol
Christofferson, gave
Christoffersons, charge
Christthe, reason
Church, in
Covenantsa, revelation
Craig, is
Craigs, talk
D, Craigs
December, we
Developing, eyes
Dickenss, 
Divine, Identity
Doctrine, and
Doing, all
Elder, Christofferson
Ensure, that
Ever, since
Eyes, to
Eyre, navigated
Father, with
Focusing, on
For, the
Fortunately, for
Fulfilling, Elder
Ghost, for
God, As
Gods, plans
Having, the
He, has
Help, all
Him, We
Himself, would
His, prophet
Holy, Ghost
I, so
Identity, Relatedly
If, any
In, fact
Investing, in
It, is
Jane, Eyre
Jerichoone, who
Jesus, Christ
Keeping, our
Kimball, reminded
Labels, can
Latterday, Saints
Leaf, that
Leo, Tolstoys
Levite, on
Likewise, in
London, in
Looking, at
Lord, were
Lords, mouthpiece
M, Nelson
Make, no
Manti, temple
Matthew, Then
Michelle, D
Months, ago
Mormonwhich, we
My, dear
Nelson, to
Nelsons, teaching
No, identifier
Now, I
Obedience, paves
October, 
Olive, Leaf
One, of
Others, At
Our, Savior
Over, the
Peace, the
Pierre, Bezukhov
President, Russell
Put, differently
Redeemer, and
Reinforcing, our
Relatedly, we
Retaining, and
Role, at
Russell, M
Saints, and
Sariah, who
Savior, stands
Scrooge, went
See, Our
Seeing, others
She, is
Sister, Craig
Son, of
Spencer, W
Spirit, to
Stop, looking
Strengthening, the
That, kind
The, Church
Then, said
These, faithful
Thinking, celestial
This, seemingly
Today, I
Todd, Christofferson
Tolstoys, 
University, I
W, Kimball
War, and
We, have
Welcome, to
Wendy, and
What, am
When, Elder
Whether, you
While, we
With, your
Within, that
Without, question
Wood, in
You, know
Young, University
Younger, who
Your, potential
Zeezrom, who
Zion, community
a, community
ability, to
able, to
about, it
absolutely, infectious
academic, honesty
accident, or
according, to
achieve, a
acknowledge, a
act, will
address, their
addressed, the
adults, in
after, me
against, his
aged, wellthe
ago, during
ahead, of
all, of
allows, us
almost, automatic
along, this
also, provides
am, Now
amazing, you
amplify, the
an, earthly
and, sustained
angels, and
anniversary, together
another, person
any, label
anyone, this
appointed, mission
are, bound
around, I
articulated, so
as, eternal
asked, myself
asking, questions
aspirations, We
at, the
atoning, sacrifice
attending, events
authority, and
automatic, I
away, and
awkward, but
back, on
bad, to
basic, designations
be, made
became, Now
because, our
become, immortal
becomes, a
becomethat, is
becoming, BYU
been, on
beginning, of
being, better
believe, that
belonging, I
benefit, for
benefits, This
best, forms
better, for
beyond, ourselves
big, and
bilingualfor, faculty
bilingualto, speak
birth, of
birthday, and
bless, those
blessed, benefit
block, or
bodies, will
body, which
bonds, As
both, the
bound, to
break, she
breed, belonging
briefly, and
bright, faces
but, blessed
by, virtue
called, and
came, Stop
campus, at
can, be
cans, of
capable, of
capacity, to
care, for
cart, was
cat, food
catch, up
caught, without
celebrate, the
celebrated, our
celestial, will
celestially, And
century, and
challenges, Having
challenging, childhood
change, of
changed, in
charge, to
charged, me
chases, away
chief, moral
child, of
childhood, and
children, of
choices, I
chose, to
chosen, field
circle, of
citizens, students
claim, all
classic, A
classroom, or
clearly, by
clever, like
collective, stories
collectively, and
come, in
comeback, stories
comes, from
coming, and
commend, to
commit, our
commitment, to
committed, to
communities, The
community, of
compatible, with
competing, interests
completely, unexpected
complex, life
comprehend, things
comprehendeth, all
conference, I
confidence, and
confronted, with
connect, with
constitution, of
contact, I
contention, experienced
continued, to
contrast, to
coping, with
could, ever
courage, to
covenant, and
covenantal, bonds
covenants, we
create, a
created, He
creatures, having
cross, and
crowd, in
crucial, first
current, trends
cycle, and
daily, efforts
darkness, has
daughter, or
daughters, and
day, I
deaf, there
dealings, with
dear, friends
decision, I
declare, to
deeper, understanding
deeply, and
deliberate, in
deny, himself
departed, then
dependent, upon
described, in
description, of
designations, will
desire, for
devastating, illness
develop, our
developed, eyes
developing, eyes
devotion, to
did, not
dies, prematurely
different, 
differently, one
dilemma, think
diligent, seeking
directed, university
directly, 
disciple, of
disciples, And
discipleship, While
disciplinary, lens
disciplines, At
discussed, the
displace, replace
distinguishing, ourselves
divine, With
divinely, appointed
do, not
doer, of
doing, Months
dont, see
double, heritage
doubt, that
down, 
dreams, and
during, the
each, of
earlier, we
earthly, experience
educationwe, learn
effort, Eyes
efforts, to
elderly, gentleman
email, look
embraces, this
emphasis, placed
empty, except
emulate, the
encounters, with
endeavor, We
enduring, designations
environment, at
eternal, creatures
eternities, Our
eternity, I
even, as
events, with
eventually, repented
ever, make
every, man
exactly, how
example, of
excellence, about
except, for
excess, and
exchange, for
experience, we
experienced, a
experiences, and
experiencing, a
eye, be
eyes, to
faces, We
fact, President
faculty, and
faith, in
faithful, disciples
families, the
family, on
familyhelping, the
fantastic, semester
fateful, encounters
father, The
fathers, teachings
feed, The
feel, the
feelings, of
fellow, men
felt, a
few, cans
field, of
figure, out
filled, with
find, our
first, thing
focus, on
focused, intently
follow, me
following, questions
foment, contention
food, We
for, all
foreseen, it
forms, of
forward, to
foster, an
found, myself
four, spirits
frequently, teaching
friends, you
from, making
frustrations, to
fulfilling, our
full, semester
fully, embraces
fun, and
gain, the
gave, the
general, conference
generation, He
gentleman, in
gift, of
gifts, to
give, you
given, us
giver, and
glimpses, of
glory, of
good, time
gospel, of
grand, eternal
grateful, to
great, after
greater, scriptural
grew, out
grounded, husband
group, of
guide, that
had, not
half, of
happened, when
happiness, God
happy, birthday
has, prepared
have, more
havent, told
having, an
he, reminded
head, of
headlines, or
hearing, Sister
heart, I
heavenly, experiences
heavily, on
help, Seeing
her, experience
here, today
heritage, inspires
heritageor, being
heroine, in
herself, the
him, deny
himself, and
hiring, Doing
his, works
honesty, in
honor, covenants
honoring, the
hope, that
how, to
husband, and
identifier, that
identifiers, the
identity, My
if, any
illness, think
immortal, And
importance, of
important, identifiers
importantly, you
impossibletounderstand, topics
impression, I
in, the
inaugural, response
inauguration, he
includes, the
increasingly, seek
indicate, your
indicated, that
individual, roles
individuallyat, distinguishing
individuallywe, love
individuals, and
infectious, As
infinite, and
influence, through
injury, as
inspire, others
inspires, us
